Date,Open,High,Low,Close,Volume
06/26/2024,"211.50","214.86","210.64","213.25","66,213,195"
06/25/2024,"209.15","211.38","208.61","209.07","56,713,871"
06/24/2024,"207.72","212.70","206.59","208.14","80,727,008"
06/21/2024,"210.39","211.89","207.11","207.49","246,421,406"
06/20/2024,"213.93","214.24","208.85","209.68","86,172,445"
06/18/2024,"217.59","218.63","213.00","214.29","79,943,250"
06/17/2024,"213.37","218.95","212.72","216.67","93,728,305"
06/14/2024,"213.85","215.17","211.30","212.49","70,122,750"
06/13/2024,"214.74","216.75","211.60","214.24","97,862,727"
06/12/2024,"207.37","220.20","206.90","213.07","198,134,297"
06/11/2024,"193.65","207.16","193.63","207.15","172,373,297"
06/10/2024,"196.90","197.30","192.15","193.12","97,262,078"
06/07/2024,"194.65","196.94","194.14","196.89","53,103,910"
06/06/2024,"195.69","196.50","194.17","194.48","41,181,754"
06/05/2024,"195.40","196.90","194.87","195.87","54,156,793"
06/04/2024,"194.64","195.32","193.03","194.35","47,471,449"
06/03/2024,"192.90","194.99","192.52","194.03","50,080,539"
05/31/2024,"191.44","192.57","189.91","192.25","75,158,281"
05/30/2024,"190.76","192.18","190.63","191.29","49,947,941"
05/29/2024,"189.61","192.25","189.51","190.29","53,068,020"
05/28/2024,"191.51","193.00","189.10","189.99","52,280,047"
05/24/2024,"188.82","190.58","188.04","189.98","36,326,980"
05/23/2024,"190.98","191.00","186.63","186.88","51,005,922"
05/22/2024,"192.27","192.82","190.27","190.90","34,648,551"
05/21/2024,"191.09","192.73","190.92","192.35","42,309,398"
05/20/2024,"189.33","191.92","189.01","191.04","44,361,281"
05/17/2024,"189.51","190.81","189.18","189.87","41,282,930"
05/16/2024,"190.47","191.10","189.66","189.84","52,845,230"
05/15/2024,"187.91","190.65","187.37","189.72","70,399,992"
05/14/2024,"187.51","188.30","186.29","187.43","52,393,621"
05/13/2024,"185.44","187.10","184.62","186.28","72,044,805"
05/10/2024,"184.90","185.09","182.13","183.05","50,759,500"
05/09/2024,"182.56","184.66","182.11","184.57","48,982,969"
05/08/2024,"182.85","183.07","181.45","182.74","45,057,090"
05/07/2024,"183.45","184.90","181.32","182.40","77,305,766"
05/06/2024,"182.35","184.20","180.42","181.71","78,569,672"
05/03/2024,"186.65","187.00","182.66","183.38","163,224,094"
05/02/2024,"172.51","173.42","170.89","173.03","94,214,922"
05/01/2024,"169.58","172.71","169.11","169.30","50,383,152"
04/30/2024,"173.33","174.99","170.00","170.33","65,934,781"
04/29/2024,"173.37","176.03","173.10","173.50","68,169,422"
04/26/2024,"169.88","171.34","169.18","169.30","44,838,352"
04/25/2024,"169.53","170.61","168.15","169.89","50,558,328"
04/24/2024,"166.54","169.30","166.21","169.02","48,251,840"
04/23/2024,"165.35","167.05","164.92","166.90","49,537,762"
04/22/2024,"165.52","167.26","164.77","165.84","48,116,441"
04/19/2024,"166.21","166.40","164.08","165.00","68,149,375"
04/18/2024,"168.03","168.64","166.55","167.04","43,122,898"
04/17/2024,"169.61","170.65","168.00","168.00","50,901,207"
04/16/2024,"171.75","173.76","168.27","169.38","73,711,242"
04/15/2024,"175.36","176.63","172.50","172.69","73,531,766"
04/12/2024,"174.26","178.36","174.21","176.55","101,670,898"
04/11/2024,"168.34","175.46","168.16","175.04","91,070,281"
04/10/2024,"168.80","169.09","167.11","167.78","49,709,340"
04/09/2024,"168.70","170.08","168.35","169.67","42,451,207"
04/08/2024,"169.03","169.20","168.24","168.45","37,425,512"
04/05/2024,"169.59","170.39","168.95","169.58","42,104,832"
04/04/2024,"170.29","171.92","168.82","168.82","53,704,391"
04/03/2024,"168.79","170.68","168.58","169.65","47,691,719"
04/02/2024,"169.08","169.34","168.23","168.84","49,329,480"
04/01/2024,"171.19","171.25","169.48","170.03","46,240,500"
03/28/2024,"171.75","172.23","170.51","171.48","65,672,688"
03/27/2024,"170.41","173.60","170.11","173.31","60,273,273"
03/26/2024,"170.00","171.42","169.58","169.71","57,388,449"
03/25/2024,"170.57","171.94","169.45","170.85","54,288,328"
03/22/2024,"171.76","173.05","170.06","172.28","71,160,141"
03/21/2024,"177.05","177.49","170.84","171.37","106,181,297"
03/20/2024,"175.72","178.67","175.09","178.67","53,423,102"
03/19/2024,"174.34","176.61","173.03","176.08","55,215,238"
03/18/2024,"175.57","177.71","173.52","173.72","75,604,180"
03/15/2024,"171.17","172.62","170.29","172.62","121,752,703"
03/14/2024,"172.91","174.31","172.05","173.00","72,913,516"
03/13/2024,"172.77","173.19","170.76","171.13","52,488,688"
03/12/2024,"173.15","174.03","171.01","173.23","59,825,367"
03/11/2024,"172.94","174.38","172.05","172.75","60,139,473"
03/08/2024,"169.00","173.70","168.94","170.73","76,267,039"
03/07/2024,"169.15","170.73","168.49","169.00","71,765,055"
03/06/2024,"171.06","171.24","168.68","169.12","68,587,711"
03/05/2024,"170.76","172.04","169.62","170.12","95,132,359"
03/04/2024,"176.15","176.90","173.79","175.10","81,510,094"
03/01/2024,"179.55","180.53","177.38","179.66","73,563,078"
02/29/2024,"181.27","182.57","179.53","180.75","136,682,594"
02/28/2024,"182.51","183.12","180.13","181.42","48,953,941"
02/27/2024,"181.10","183.92","179.56","182.63","54,318,848"
02/26/2024,"182.24","182.76","180.65","181.16","40,867,422"
02/23/2024,"185.01","185.04","182.23","182.52","45,119,680"
02/22/2024,"183.48","184.96","182.46","184.37","52,292,207"
02/21/2024,"181.94","182.89","180.66","182.32","41,529,672"
02/20/2024,"181.79","182.43","180.00","181.56","53,665,551"
02/16/2024,"183.42","184.85","181.67","182.31","49,752,473"
02/15/2024,"183.55","184.49","181.35","183.86","65,434,500"
02/14/2024,"185.32","185.53","182.44","184.15","54,630,520"
02/13/2024,"185.77","186.21","183.51","185.04","56,529,527"
02/12/2024,"188.42","188.67","186.79","187.15","41,781,930"
02/09/2024,"188.65","189.99","188.00","188.85","45,155,219"
02/08/2024,"189.39","189.54","187.35","188.32","40,962,047"
02/07/2024,"190.64","191.05","188.61","189.41","53,438,961"
02/06/2024,"186.86","189.31","186.77","189.30","43,490,762"
02/05/2024,"188.15","189.25","185.84","187.68","69,668,812"
02/02/2024,"179.86","187.33","179.25","185.85","102,551,695"
02/01/2024,"183.99","186.95","183.82","186.86","64,885,406"
01/31/2024,"187.04","187.10","184.35","184.40","55,467,801"
01/30/2024,"190.94","191.80","187.47","188.04","55,859,367"
01/29/2024,"192.01","192.20","189.58","191.73","47,145,621"
01/26/2024,"194.27","194.76","191.94","192.42","44,594,008"
01/25/2024,"195.22","196.27","193.11","194.17","54,822,129"
01/24/2024,"195.42","196.38","194.34","194.50","53,631,320"
01/23/2024,"195.02","195.75","193.83","195.18","42,355,594"
01/22/2024,"192.30","195.33","192.26","193.89","60,133,848"
01/19/2024,"189.33","191.95","188.82","191.56","68,902,992"
01/18/2024,"186.09","189.14","185.83","188.63","78,005,750"
01/17/2024,"181.27","182.93","180.30","182.68","47,317,434"
01/16/2024,"182.16","184.26","180.93","183.63","65,603,039"
01/12/2024,"186.06","186.74","185.19","185.92","40,477,781"
01/11/2024,"186.54","187.05","183.62","185.59","49,128,406"
01/10/2024,"184.35","186.40","183.92","186.19","46,792,910"
01/09/2024,"183.92","185.15","182.73","185.14","42,841,809"
01/08/2024,"182.09","185.60","181.50","185.56","59,144,473"
01/05/2024,"181.99","182.76","180.17","181.18","62,379,660"
01/04/2024,"182.15","183.09","180.88","181.91","71,983,570"
01/03/2024,"184.22","185.88","183.43","184.25","58,414,461"
01/02/2024,"187.15","188.44","183.89","185.64","82,488,672"
12/29/2023,"193.90","194.40","191.73","192.53","42,672,152"
12/28/2023,"194.14","194.66","193.17","193.58","34,049,898"
12/27/2023,"192.49","193.50","191.09","193.15","48,087,680"
12/26/2023,"193.61","193.89","192.83","193.05","28,919,311"
12/22/2023,"195.18","195.41","192.97","193.60","37,149,566"
12/21/2023,"196.10","197.08","193.50","194.68","46,482,551"
12/20/2023,"196.90","197.68","194.83","194.83","52,242,820"
12/19/2023,"196.16","196.95","195.89","196.94","40,714,047"
12/18/2023,"196.09","196.63","194.39","195.89","55,751,859"
12/15/2023,"197.53","198.40","197.00","197.57","128,538,398"
12/14/2023,"198.02","199.62","196.16","198.11","66,831,570"
12/13/2023,"195.09","198.00","194.85","197.96","70,404,180"
12/12/2023,"193.08","194.72","191.72","194.71","52,696,898"
12/11/2023,"193.11","193.49","191.42","193.18","60,943,699"
12/08/2023,"194.20","195.99","193.67","195.71","53,406,359"
12/07/2023,"193.63","195.00","193.59","194.27","47,477,660"
12/06/2023,"194.45","194.76","192.11","192.32","41,089,738"
12/05/2023,"190.21","194.40","190.18","193.42","66,628,398"
12/04/2023,"189.98","190.05","187.45","189.43","43,389,520"
12/01/2023,"190.33","191.56","189.23","191.24","45,704,820"
11/30/2023,"189.84","190.32","188.19","189.95","48,794,367"
11/29/2023,"190.90","192.09","188.97","189.37","43,014,219"
11/28/2023,"189.78","191.08","189.40","190.40","38,415,422"
11/27/2023,"189.92","190.67","188.90","189.79","40,552,609"
11/24/2023,"190.87","190.90","189.25","189.97","24,048,340"
11/22/2023,"191.49","192.93","190.83","191.31","39,630,008"
11/21/2023,"191.41","191.52","189.74","190.64","38,134,488"
11/20/2023,"189.89","191.91","189.88","191.45","46,538,609"
11/17/2023,"190.25","190.38","188.57","189.69","50,941,398"
11/16/2023,"189.57","190.96","188.65","189.71","54,412,922"
11/15/2023,"187.85","189.50","187.78","188.01","53,790,500"
11/14/2023,"187.70","188.11","186.30","187.44","60,108,379"
11/13/2023,"185.82","186.03","184.21","184.80","43,627,520"
11/10/2023,"183.97","186.57","183.53","186.40","66,177,922"
11/09/2023,"182.96","184.12","181.81","182.41","53,763,539"
11/08/2023,"182.35","183.45","181.59","182.89","49,340,281"
11/07/2023,"179.18","182.44","178.97","181.82","70,529,969"
11/06/2023,"176.38","179.43","176.21","179.23","63,841,312"
11/03/2023,"174.24","176.82","173.35","176.65","79,829,250"
11/02/2023,"175.52","177.78","175.46","177.57","77,334,750"
11/01/2023,"171.00","174.23","170.12","173.97","56,934,910"
10/31/2023,"169.35","170.90","167.90","170.77","44,846,020"
10/30/2023,"169.02","171.17","168.87","170.29","51,130,961"
10/27/2023,"166.91","168.96","166.83","168.22","58,499,129"
10/26/2023,"170.37","171.38","165.67","166.89","70,625,266"
10/25/2023,"171.88","173.06","170.65","171.10","57,156,961"
10/24/2023,"173.05","173.67","171.45","173.44","43,816,641"
10/23/2023,"170.91","174.01","169.93","173.00","55,980,113"
10/20/2023,"175.31","175.42","172.64","172.88","64,244,031"
10/19/2023,"176.04","177.84","175.19","175.46","59,302,859"
10/18/2023,"175.58","177.58","175.11","175.84","54,764,379"
10/17/2023,"176.65","178.42","174.80","177.15","57,549,352"
10/16/2023,"176.75","179.08","176.51","178.72","52,516,980"
10/13/2023,"181.42","181.93","178.14","178.85","51,456,078"
10/12/2023,"180.07","182.34","179.04","180.71","56,743,121"
10/11/2023,"178.20","179.85","177.60","179.80","47,551,102"
10/10/2023,"178.10","179.72","177.95","178.39","43,698,020"
10/09/2023,"176.81","179.05","175.80","178.99","42,390,770"
10/06/2023,"173.80","177.99","173.18","177.49","57,266,680"
10/05/2023,"173.79","175.45","172.68","174.91","48,527,922"
10/04/2023,"171.09","174.21","170.97","173.66","53,020,289"
